position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
53,1.0053,1.0053,2.0402,2.0402,-1.4683,-1.4683,-0.194,-0.194,1.0852,1.0852,-1.8787,-1.8787,0.0437,0.0437,0.7531,0.7531,0.4062,0.4062,0.1857,0.1857,0.0878,0.0878,0.0454,0.0454,0.025,0.025,0
54.5,1.0505,1.0506,2.0865,2.0882,-1.4755,-1.4751,-0.2368,-0.2375,1.1565,1.157,-1.8797,-1.8791,0.0243,0.0239,0.7379,0.7361,0.3845,0.3831,0.1665,0.1667,0.0741,0.0753,0.0362,0.037,0.0194,0.0187,0
56,1.0961,1.0983,2.1347,2.1381,-1.4843,-1.4814,-0.2795,-0.2829,1.2287,1.2292,-1.8812,-1.8794,0.0052,0.0042,0.7226,0.7197,0.3623,0.3615,0.1473,0.1486,0.0614,0.0634,0.0283,0.0285,0.0139,0.0132,0
57.5,1.1389,1.1425,2.1804,2.1828,-1.4859,-1.4866,-0.3253,-0.3257,1.2986,1.3024,-1.8802,-1.8813,-0.0156,-0.0177,0.7082,0.7084,0.3384,0.343,0.1285,0.1312,0.0499,0.0502,0.0212,0.0194,0.0072,0.009,0
59,1.1782,1.1813,2.22,2.2214,-1.4809,-1.4872,-0.3724,-0.3677,1.3682,1.3737,-1.8784,-1.8803,-0.0352,-0.0409,0.6942,0.699,0.3163,0.3214,0.1102,0.1145,0.0376,0.0363,0.0114,0.012,0.0024,0.0052,0
60.5,1.2167,1.2155,2.2504,2.2536,-1.4729,-1.4792,-0.4176,-0.4128,1.4397,1.4428,-1.8768,-1.8768,-0.0543,-0.0594,0.6818,0.685,0.2972,0.2962,0.092,0.0959,0.024,0.0225,-0.0005,0.0021,-0.002,-0.0012,0
62,1.2478,1.2462,2.2728,2.2751,-1.4594,-1.4624,-0.4613,-0.4592,1.5106,1.5126,-1.875,-1.8748,-0.0754,-0.0769,0.6721,0.6705,0.2786,0.2758,0.0749,0.0762,0.0096,0.01,-0.0094,-0.0104,-0.0092,-0.0101,0
63.5,1.2686,1.2705,2.2855,2.286,-1.4377,-1.4372,-0.5045,-0.5052,1.5815,1.5835,-1.8751,-1.8754,-0.0972,-0.098,0.662,0.6622,0.2614,0.2604,0.0589,0.0586,-0.004,-0.0024,-0.0168,-0.0193,-0.0168,-0.0175,0
65,1.2836,1.2872,2.2841,2.286,-1.4064,-1.4045,-0.5483,-0.5499,1.6543,1.6527,-1.8763,-1.8758,-0.1184,-0.1189,0.6517,0.6555,0.2453,0.2447,0.0433,0.0422,-0.016,-0.0149,-0.0246,-0.0257,-0.0233,-0.0239,0
66.5,1.2936,1.2962,2.2681,2.2708,-1.3649,-1.3638,-0.5923,-0.5932,1.7251,1.7218,-1.8761,-1.8753,-0.1414,-0.141,0.6454,0.6484,0.2297,0.2295,0.0286,0.0274,-0.0269,-0.0262,-0.0322,-0.0326,-0.0291,-0.0298,0
68,1.2947,1.2955,2.2364,2.2374,-1.3127,-1.3123,-0.6351,-0.6354,1.7937,1.7925,-1.8757,-1.8751,-0.1666,-0.1668,0.6432,0.6441,0.2161,0.2161,0.0148,0.0144,-0.0368,-0.0366,-0.0397,-0.0398,-0.0343,-0.0346,0
69.5,1.2851,1.2846,2.1863,2.1866,-1.2489,-1.2502,-0.6769,-0.6762,1.8621,1.8629,-1.8754,-1.875,-0.1935,-0.1946,0.6422,0.6421,0.205,0.2051,0.0025,0.0025,-0.0459,-0.0459,-0.046,-0.0465,-0.0387,-0.0388,0
71,1.2653,1.2642,2.1183,2.119,-1.1749,-1.1779,-0.7175,-0.7158,1.9297,1.9324,-1.8727,-1.8752,-0.2247,-0.2238,0.642,0.6427,0.1967,0.197,-0.0077,-0.0077,-0.0541,-0.0541,-0.0515,-0.0522,-0.0423,-0.0425,0
72.5,1.2357,1.2358,2.0373,2.0367,-1.0943,-1.0954,-0.7562,-0.7556,1.9976,2.0006,-1.8688,-1.8736,-0.2593,-0.2559,0.6441,0.6461,0.1909,0.1895,-0.0165,-0.0163,-0.0611,-0.0614,-0.0561,-0.0565,-0.0462,-0.0455,0
74,1.1974,1.1982,1.9431,1.9414,-1.0068,-1.0046,-0.793,-0.7945,2.063,2.0656,-1.8622,-1.8667,-0.2966,-0.2923,0.6493,0.6496,0.1865,0.1839,-0.0232,-0.0232,-0.0664,-0.0669,-0.0597,-0.06,-0.0493,-0.0475,0
75.5,1.1517,1.1516,1.8361,1.8345,-0.9113,-0.9087,-0.8282,-0.8299,2.1213,2.1227,-1.8485,-1.8506,-0.3375,-0.3349,0.6541,0.6526,0.186,0.185,-0.027,-0.0269,-0.0704,-0.0704,-0.0629,-0.0634,-0.0508,-0.0497,0
77,1.0999,1.1,1.7232,1.7228,-0.8126,-0.8103,-0.862,-0.8634,2.1723,2.1723,-1.827,-1.8253,-0.3809,-0.3825,0.6556,0.6557,0.1905,0.1896,-0.0283,-0.0275,-0.0724,-0.0721,-0.0651,-0.0655,-0.0515,-0.0517,0
78.5,1.0439,1.045,1.6077,1.6084,-0.7129,-0.7105,-0.8942,-0.896,2.2145,2.2165,-1.7949,-1.7945,-0.4305,-0.4322,0.6567,0.6588,0.198,0.1959,-0.0262,-0.0256,-0.0718,-0.0717,-0.0653,-0.0656,-0.0516,-0.0517,0
80,0.9849,0.986,1.4907,1.491,-0.6121,-0.6105,-0.924,-0.9254,2.2459,2.2496,-1.7512,-1.7538,-0.4874,-0.4869,0.6589,0.6612,0.2091,0.2071,-0.021,-0.0211,-0.0693,-0.0691,-0.0642,-0.0643,-0.0508,-0.0506,0
81.5,0.9234,0.9239,1.3732,1.3736,-0.5119,-0.511,-0.9508,-0.9517,2.2668,2.2691,-1.6984,-1.7,-0.5495,-0.5489,0.6615,0.6624,0.2245,0.2226,-0.0128,-0.013,-0.0644,-0.0643,-0.0618,-0.0616,-0.049,-0.0489,0
83,0.8606,0.8608,1.2585,1.2591,-0.4143,-0.4139,-0.9742,-0.9745,2.2746,2.275,-1.6342,-1.6345,-0.617,-0.6166,0.6626,0.6627,0.2432,0.2423,-0.0007,-0.0008,-0.0568,-0.0568,-0.0574,-0.0574,-0.046,-0.0461,0
84.5,0.7977,0.7986,1.1505,1.1499,-0.32,-0.3223,-0.9939,-0.9926,2.2665,2.2657,-1.5567,-1.5573,-0.6897,-0.6892,0.6612,0.6616,0.2657,0.2659,0.0147,0.0149,-0.047,-0.0467,-0.0516,-0.0516,-0.0423,-0.0423,0
86,0.7359,0.7377,1.048,1.0473,-0.2304,-0.2355,-1.0092,-1.0063,2.2435,2.2416,-1.4676,-1.4689,-0.7674,-0.7662,0.6581,0.659,0.2919,0.292,0.033,0.0334,-0.0348,-0.0346,-0.0446,-0.0447,-0.0378,-0.0378,0
87.5,0.6771,0.6786,0.9512,0.9526,-0.1485,-0.1517,-1.0189,-1.017,2.2062,2.2038,-1.3702,-1.3693,-0.8475,-0.8477,0.6532,0.6541,0.321,0.3198,0.0541,0.0539,-0.0206,-0.0209,-0.0365,-0.0364,-0.0323,-0.0326,0
89,0.6198,0.621,0.8616,0.8641,-0.0724,-0.0722,-1.024,-1.0243,2.1559,2.1554,-1.2656,-1.2619,-0.9279,-0.9309,0.6452,0.6459,0.3519,0.3494,0.0769,0.0761,-0.0049,-0.0059,-0.0275,-0.0273,-0.0262,-0.0266,0
90.5,0.5639,0.5644,0.7795,0.7801,0.0014,0.0015,-1.0275,-1.0278,2.0977,2.0989,-1.154,-1.1527,-1.0099,-1.012,0.6343,0.6359,0.3816,0.3806,0.1002,0.0996,0.0106,0.0096,-0.0184,-0.0183,-0.0203,-0.0205,0
92,0.512,0.512,0.7043,0.704,0.0705,0.0698,-1.0296,-1.0292,2.0348,2.0354,-1.039,-1.0413,-1.0913,-1.092,0.6199,0.6246,0.4108,0.4118,0.1233,0.1235,0.0259,0.0259,-0.0089,-0.0087,-0.0143,-0.0141,0
93.5,0.464,0.4638,0.6355,0.636,0.1332,0.1341,-1.0288,-1.029,1.9653,1.965,-0.923,-0.9254,-1.1688,-1.1698,0.6022,0.6083,0.441,0.4417,0.1464,0.1476,0.0415,0.0419,0.0007,0.001,-0.0083,-0.0078,0
95,0.4187,0.4185,0.574,0.5745,0.1916,0.1934,-1.0259,-1.0265,1.8896,1.8888,-0.8059,-0.8067,-1.2419,-1.2422,0.5831,0.586,0.4697,0.469,0.17,0.1706,0.0567,0.0568,0.0099,0.0101,-0.0024,-0.0022,0
96.5,0.3774,0.3773,0.5198,0.5201,0.2466,0.2475,-1.0229,-1.0231,1.8109,1.8102,-0.6888,-0.6889,-1.309,-1.3087,0.5597,0.5603,0.4958,0.4945,0.1926,0.1925,0.0711,0.0711,0.0188,0.019,0.0032,0.0033,0
98,0.3406,0.3405,0.4719,0.4719,0.298,0.2985,-1.0203,-1.0205,1.7316,1.7315,-0.5736,-0.5736,-1.369,-1.3689,0.5311,0.5314,0.5195,0.5185,0.2137,0.2137,0.0847,0.0848,0.0274,0.0275,0.0088,0.0088,0
99.5,0.3085,0.308,0.4307,0.4304,0.3459,0.3465,-1.0186,-1.0189,1.652,1.6526,-0.4609,-0.4605,-1.4213,-1.4216,0.4985,0.4987,0.541,0.5398,0.2335,0.2334,0.0973,0.0976,0.0356,0.0356,0.0141,0.0139,0
101,0.2809,0.2804,0.3967,0.3961,0.3907,0.3909,-1.0178,-1.018,1.5723,1.5729,-0.3507,-0.3499,-1.4655,-1.4665,0.4619,0.4623,0.5595,0.5589,0.2519,0.2515,0.1088,0.1091,0.0431,0.0431,0.0187,0.0187,0
102.5,0.2574,0.2571,0.3684,0.368,0.4324,0.4328,-1.0177,-1.0179,1.4925,1.4927,-0.2432,-0.2425,-1.5024,-1.5035,0.4218,0.4224,0.5754,0.5764,0.2688,0.2687,0.1192,0.1195,0.0501,0.0502,0.0231,0.0232,0
104,0.2376,0.2371,0.345,0.345,0.4717,0.4721,-1.0176,-1.0179,1.4118,1.4124,-0.1386,-0.1385,-1.5328,-1.5333,0.3785,0.3787,0.5904,0.5918,0.2852,0.2856,0.1292,0.1294,0.0571,0.0571,0.0276,0.0274,0
105.5,0.221,0.2205,0.3265,0.3267,0.5091,0.5091,-1.0179,-1.0182,1.3311,1.3319,-0.0376,-0.0369,-1.5572,-1.5575,0.332,0.3311,0.6053,0.606,0.3016,0.3024,0.1391,0.1391,0.0638,0.0635,0.0319,0.0317,0
107,0.207,0.2071,0.3116,0.3121,0.5447,0.5457,-1.0191,-1.0196,1.2519,1.2519,0.0601,0.0612,-1.576,-1.576,0.2824,0.281,0.6194,0.62,0.3176,0.3185,0.1485,0.1482,0.07,0.0696,0.0357,0.0357,0
