position,BGA_03,BGA_04,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
75,0,0,1.1677,1.1679,1.8727,1.8709,-0.9437,-0.941,-0.8166,-0.8184,2.1027,2.1045,-1.8539,-1.857,-0.3235,-0.3201,0.6529,0.6516,0.1861,0.1845,-0.0261,-0.0261,-0.0693,-0.0695,-0.0619,-0.0624,-0.0504,-0.049,0
76,0,0,1.1351,1.1349,1.799,1.7977,-0.8787,-0.8761,-0.8396,-0.8412,2.1392,2.14,-1.8424,-1.8432,-0.3516,-0.3503,0.6547,0.6536,0.1868,0.1861,-0.0276,-0.0272,-0.0713,-0.0712,-0.0638,-0.0643,-0.0511,-0.0505,0
77,0,0,1.0999,1.1,1.7232,1.7228,-0.8126,-0.8103,-0.862,-0.8634,2.1723,2.1723,-1.827,-1.8253,-0.3809,-0.3825,0.6556,0.6557,0.1905,0.1896,-0.0283,-0.0275,-0.0724,-0.0721,-0.0651,-0.0655,-0.0515,-0.0517,0
78,0,0,1.0629,1.0637,1.6464,1.6469,-0.7463,-0.7438,-0.8837,-0.8854,2.2016,2.2029,-1.8068,-1.8056,-0.4132,-0.4152,0.6563,0.6578,0.1951,0.1935,-0.0272,-0.0265,-0.0721,-0.0719,-0.0653,-0.0656,-0.0516,-0.0517,0
79,0,0,1.0246,1.0258,1.5688,1.5695,-0.6794,-0.6772,-0.9044,-0.9061,2.2261,2.2289,-1.7816,-1.7822,-0.4487,-0.4498,0.6573,0.6597,0.2012,0.199,-0.0249,-0.0245,-0.0713,-0.0712,-0.0651,-0.0654,-0.0515,-0.0515,0
80,0,0,0.9849,0.986,1.4907,1.491,-0.6121,-0.6105,-0.924,-0.9254,2.2459,2.2496,-1.7512,-1.7538,-0.4874,-0.4869,0.6589,0.6612,0.2091,0.2071,-0.021,-0.0211,-0.0693,-0.0691,-0.0642,-0.0643,-0.0508,-0.0506,0
81,0,0,0.9441,0.9448,1.4122,1.4125,-0.5451,-0.544,-0.9422,-0.9433,2.2616,2.2645,-1.7171,-1.7193,-0.5282,-0.5275,0.6608,0.6621,0.219,0.217,-0.0159,-0.0161,-0.0663,-0.0662,-0.0628,-0.0627,-0.0497,-0.0496,0
82,0,0,0.9026,0.9029,1.3345,1.335,-0.4791,-0.4782,-0.959,-0.9597,2.2705,2.272,-1.6784,-1.6795,-0.5714,-0.5709,0.662,0.6625,0.2303,0.2287,-0.0092,-0.0094,-0.0622,-0.0621,-0.0606,-0.0604,-0.0481,-0.0481,0
83,0,0,0.8606,0.8608,1.2585,1.2591,-0.4143,-0.4139,-0.9742,-0.9745,2.2746,2.275,-1.6342,-1.6345,-0.617,-0.6166,0.6626,0.6627,0.2432,0.2423,-0.0007,-0.0008,-0.0568,-0.0568,-0.0574,-0.0574,-0.046,-0.0461,0
84,0,0,0.8186,0.8192,1.1858,1.1856,-0.351,-0.3523,-0.9878,-0.9871,2.2704,2.2701,-1.5839,-1.5843,-0.6649,-0.6645,0.6618,0.6621,0.2578,0.2577,0.0092,0.0093,-0.0505,-0.0503,-0.0537,-0.0537,-0.0436,-0.0437,0
85,0,0,0.7769,0.7781,1.1157,1.1149,-0.2895,-0.2929,-0.9995,-0.9976,2.2609,2.2596,-1.5282,-1.5291,-0.7151,-0.7144,0.6604,0.6609,0.274,0.2743,0.0205,0.0208,-0.0432,-0.0429,-0.0494,-0.0494,-0.0409,-0.0409,0
86,0,0,0.7359,0.7377,1.048,1.0473,-0.2304,-0.2355,-1.0092,-1.0063,2.2435,2.2416,-1.4676,-1.4689,-0.7674,-0.7662,0.6581,0.659,0.2919,0.292,0.033,0.0334,-0.0348,-0.0346,-0.0446,-0.0447,-0.0378,-0.0378,0
87,0,0,0.6965,0.6981,0.9827,0.9834,-0.1751,-0.1792,-1.0163,-1.0138,2.2201,2.2177,-1.4035,-1.4035,-0.8207,-0.8202,0.6551,0.656,0.3111,0.3103,0.0468,0.0469,-0.0255,-0.0256,-0.0393,-0.0393,-0.0342,-0.0344,0
88,0,0,0.6578,0.6593,0.9205,0.9225,-0.1226,-0.1247,-1.0209,-1.0198,2.1908,2.1888,-1.3361,-1.3342,-0.8742,-0.8754,0.6509,0.6517,0.3312,0.3295,0.0616,0.0611,-0.0155,-0.016,-0.0336,-0.0334,-0.0303,-0.0307,0
89,0,0,0.6198,0.621,0.8616,0.8641,-0.0724,-0.0722,-1.024,-1.0243,2.1559,2.1554,-1.2656,-1.2619,-0.9279,-0.9309,0.6452,0.6459,0.3519,0.3494,0.0769,0.0761,-0.0049,-0.0059,-0.0275,-0.0273,-0.0262,-0.0266,0
90,0,0,0.5822,0.5829,0.8061,0.8073,-0.0228,-0.0224,-1.0265,-1.0269,2.1177,2.1185,-1.1917,-1.1893,-0.9826,-0.9851,0.6383,0.6394,0.3718,0.3701,0.0924,0.0917,0.0055,0.0044,-0.0215,-0.0213,-0.0223,-0.0226,0
91,0,0,0.5462,0.5465,0.7537,0.7539,0.025,0.0248,-1.0284,-1.0285,2.0773,2.0785,-1.116,-1.1159,-1.0372,-1.0388,0.6299,0.6324,0.3913,0.391,0.1079,0.1075,0.0157,0.015,-0.0153,-0.0151,-0.0183,-0.0184,0
92,0,0,0.512,0.512,0.7043,0.704,0.0705,0.0698,-1.0296,-1.0292,2.0348,2.0354,-1.039,-1.0413,-1.0913,-1.092,0.6199,0.6246,0.4108,0.4118,0.1233,0.1235,0.0259,0.0259,-0.0089,-0.0087,-0.0143,-0.0141,0
93,0,0,0.4797,0.4795,0.6576,0.6579,0.1129,0.1132,-1.0292,-1.0291,1.9892,1.9891,-0.9618,-0.9644,-1.1434,-1.1444,0.6083,0.6143,0.431,0.432,0.1387,0.1396,0.0363,0.0367,-0.0025,-0.0022,-0.0103,-0.0098,0
94,0,0,0.4486,0.4483,0.6142,0.6148,0.1531,0.1544,-1.0281,-1.0285,1.9407,1.9401,-0.884,-0.886,-1.1937,-1.1945,0.5961,0.6015,0.4508,0.4511,0.1543,0.1554,0.0466,0.047,0.0038,0.0041,-0.0063,-0.0059,0
95,0,0,0.4187,0.4185,0.574,0.5745,0.1916,0.1934,-1.0259,-1.0265,1.8896,1.8888,-0.8059,-0.8067,-1.2419,-1.2422,0.5831,0.586,0.4697,0.469,0.17,0.1706,0.0567,0.0568,0.0099,0.0101,-0.0024,-0.0022,0
96,0,0,0.3907,0.3905,0.5371,0.5375,0.2287,0.2299,-1.0239,-1.0242,1.8373,1.8365,-0.7277,-0.7279,-1.2874,-1.2872,0.568,0.5692,0.4874,0.4862,0.1852,0.1853,0.0664,0.0664,0.0159,0.0161,0.0013,0.0015,0
97,0,0,0.3646,0.3646,0.5031,0.5033,0.2641,0.2648,-1.022,-1.0221,1.7845,1.784,-0.6502,-0.6502,-1.3298,-1.3295,0.5507,0.551,0.504,0.5027,0.1998,0.1997,0.0757,0.0757,0.0217,0.0219,0.0051,0.0051,0
98,0,0,0.3406,0.3405,0.4719,0.4719,0.298,0.2985,-1.0203,-1.0205,1.7316,1.7315,-0.5736,-0.5736,-1.369,-1.3689,0.5311,0.5314,0.5195,0.5185,0.2137,0.2137,0.0847,0.0848,0.0274,0.0275,0.0088,0.0088,0
99,0,0,0.3187,0.3183,0.4436,0.4434,0.3303,0.3309,-1.019,-1.0193,1.6786,1.679,-0.4982,-0.4979,-1.4048,-1.4049,0.5098,0.51,0.5341,0.533,0.2271,0.227,0.0932,0.0935,0.0329,0.033,0.0124,0.0122,0
100,0,0,0.2988,0.2983,0.4187,0.4182,0.3612,0.3617,-1.0182,-1.0185,1.6254,1.6261,-0.4239,-0.4233,-1.4369,-1.4374,0.4867,0.487,0.5475,0.5464,0.2398,0.2396,0.1013,0.1016,0.0382,0.0382,0.0157,0.0155,0
101,0,0,0.2809,0.2804,0.3967,0.3961,0.3907,0.3909,-1.0178,-1.018,1.5723,1.5729,-0.3507,-0.3499,-1.4655,-1.4665,0.4619,0.4623,0.5595,0.5589,0.2519,0.2515,0.1088,0.1091,0.0431,0.0431,0.0187,0.0187,0
102,0,0,0.2648,0.2645,0.3772,0.3767,0.4188,0.4191,-1.0177,-1.0179,1.5192,1.5195,-0.2787,-0.2779,-1.4909,-1.492,0.4355,0.4361,0.5703,0.5708,0.2633,0.263,0.1158,0.1161,0.0478,0.0479,0.0216,0.0217,0
103,0,0,0.2504,0.2501,0.3601,0.3598,0.4457,0.4462,-1.0177,-1.0179,1.4657,1.4659,-0.208,-0.2075,-1.5132,-1.5141,0.4077,0.4083,0.5805,0.5817,0.2743,0.2744,0.1226,0.1228,0.0524,0.0525,0.0246,0.0246,0
104,0,0,0.2376,0.2371,0.345,0.345,0.4717,0.4721,-1.0176,-1.0179,1.4118,1.4124,-0.1386,-0.1385,-1.5328,-1.5333,0.3785,0.3787,0.5904,0.5918,0.2852,0.2856,0.1292,0.1294,0.0571,0.0571,0.0276,0.0274,0
105,0,0,0.2262,0.2257,0.3322,0.3323,0.4968,0.4969,-1.0178,-1.018,1.3579,1.3587,-0.0709,-0.0704,-1.5497,-1.5501,0.3478,0.3473,0.6004,0.6013,0.2962,0.2969,0.1358,0.1359,0.0616,0.0614,0.0305,0.0303,0
106,0,0,0.2161,0.2157,0.3212,0.3215,0.5211,0.5214,-1.0182,-1.0185,1.3046,1.3052,-0.0047,-0.0038,-1.5641,-1.5642,0.3158,0.3147,0.6101,0.6107,0.307,0.3078,0.1423,0.1422,0.0659,0.0656,0.0332,0.0331,0
107,0,0,0.207,0.2071,0.3116,0.3121,0.5447,0.5457,-1.0191,-1.0196,1.2519,1.2519,0.0601,0.0612,-1.576,-1.576,0.2824,0.281,0.6194,0.62,0.3176,0.3185,0.1485,0.1482,0.07,0.0696,0.0357,0.0357,0
108,0,0,0.1991,0.1994,0.3035,0.3038,0.5681,0.5692,-1.0201,-1.0205,1.1991,1.1988,0.1238,0.1245,-1.5856,-1.5857,0.2475,0.2467,0.6284,0.6289,0.3282,0.3288,0.1545,0.1543,0.0739,0.0737,0.0382,0.0382,0
109,0,0,0.1922,0.1926,0.2969,0.297,0.591,0.5917,-1.021,-1.0212,1.1459,1.1457,0.1861,0.1866,-1.5931,-1.5933,0.2115,0.2112,0.6373,0.6377,0.339,0.3392,0.1605,0.1604,0.0779,0.0778,0.0406,0.0406,0
110,0,0,0.1861,0.1865,0.2915,0.2916,0.6135,0.6135,-1.0217,-1.0218,1.0926,1.0926,0.2469,0.2475,-1.5987,-1.5992,0.1744,0.1746,0.6462,0.6463,0.3499,0.3497,0.1665,0.1665,0.0819,0.0819,0.0431,0.043,0
111,0,0,0.1808,0.181,0.287,0.2872,0.6355,0.6355,-1.0227,-1.0227,1.0399,1.0399,0.3062,0.307,-1.6026,-1.6033,0.1364,0.1368,0.6551,0.6549,0.3607,0.3604,0.1727,0.1726,0.0859,0.0859,0.0455,0.0455,0
112,0,0,0.176,0.1761,0.2833,0.2834,0.6574,0.6575,-1.0237,-1.0237,0.9876,0.9875,0.3643,0.3651,-1.6052,-1.6057,0.0976,0.0979,0.6639,0.6637,0.3716,0.3715,0.179,0.1789,0.0899,0.0899,0.048,0.048,0
113,0,0,0.1716,0.1718,0.2802,0.2801,0.6793,0.6793,-1.0248,-1.0247,0.9358,0.9354,0.4212,0.4218,-1.6065,-1.6068,0.0579,0.058,0.6728,0.6727,0.3828,0.3828,0.1854,0.1854,0.0939,0.0939,0.0505,0.0505,0
114,0,0,0.1676,0.1679,0.2774,0.2773,0.7012,0.701,-1.0259,-1.0257,0.884,0.8836,0.4769,0.4772,-1.6063,-1.6063,0.0172,0.017,0.682,0.6819,0.3943,0.3944,0.1922,0.192,0.098,0.098,0.053,0.053,0
115,0,0,0.1639,0.1643,0.2751,0.2753,0.723,0.7228,-1.0269,-1.0268,0.8324,0.8322,0.5314,0.5313,-1.6052,-1.6049,-0.0247,-0.025,0.6913,0.6912,0.4059,0.406,0.199,0.1988,0.1021,0.1022,0.0555,0.0554,0
116,0,0,0.1606,0.161,0.2734,0.2737,0.7448,0.7446,-1.0279,-1.0279,0.781,0.7812,0.5844,0.584,-1.602,-1.6017,-0.0676,-0.0678,0.7008,0.7007,0.4178,0.4177,0.2058,0.2058,0.1062,0.1063,0.058,0.0579,0
117,0,0,0.1576,0.1578,0.2723,0.2724,0.7666,0.7664,-1.0289,-1.029,0.7301,0.7303,0.6359,0.6356,-1.5975,-1.5972,-0.1114,-0.1117,0.7104,0.7103,0.43,0.4298,0.2129,0.213,0.1104,0.1104,0.0605,0.0604,0
118,0,0,0.1549,0.155,0.2714,0.2714,0.7886,0.7883,-1.0301,-1.03,0.6798,0.6797,0.6857,0.6857,-1.5912,-1.5909,-0.1562,-0.1566,0.7198,0.7198,0.4423,0.4421,0.2202,0.2203,0.1146,0.1145,0.063,0.063,0
119,0,0,0.1526,0.1526,0.2707,0.2708,0.8107,0.8103,-1.0314,-1.0312,0.6299,0.6295,0.7338,0.7342,-1.5827,-1.5825,-0.2019,-0.2024,0.7289,0.729,0.4547,0.4547,0.2276,0.2277,0.1187,0.1187,0.0655,0.0655,0
120,0,0,0.1508,0.1507,0.2704,0.2708,0.8328,0.8326,-1.0328,-1.0326,0.5803,0.5798,0.7802,0.7808,-1.5721,-1.5718,-0.2482,-0.2489,0.7377,0.7378,0.4671,0.4671,0.2351,0.2351,0.1229,0.1228,0.068,0.0679,0
121,0,0,0.1492,0.1491,0.2706,0.2709,0.8549,0.8548,-1.034,-1.0339,0.5307,0.5305,0.8251,0.8255,-1.5595,-1.5591,-0.2954,-0.2962,0.7463,0.7466,0.4797,0.4794,0.2427,0.2425,0.1271,0.1268,0.0704,0.0703,0
122,0,0,0.1479,0.1478,0.2715,0.2714,0.8769,0.8769,-1.035,-1.0351,0.4813,0.4817,0.8683,0.8682,-1.5449,-1.5444,-0.3435,-0.3443,0.7548,0.7551,0.4924,0.4918,0.2503,0.2498,0.1312,0.1309,0.0729,0.0727,0
123,0,0,0.1467,0.1467,0.2727,0.2723,0.899,0.899,-1.036,-1.0363,0.4325,0.4334,0.9094,0.909,-1.5281,-1.5275,-0.3924,-0.3932,0.7629,0.7633,0.5053,0.5045,0.2579,0.2574,0.1353,0.135,0.0752,0.0751,0
124,0,0,0.1462,0.1461,0.2742,0.2738,0.9213,0.9213,-1.0371,-1.0376,0.3843,0.3858,0.9479,0.9474,-1.5086,-1.5083,-0.4421,-0.4426,0.7704,0.7706,0.5183,0.5176,0.2655,0.2652,0.1393,0.139,0.0776,0.0775,0
125,0,0,0.1461,0.1459,0.2762,0.2761,0.9437,0.9438,-1.0385,-1.0392,0.3367,0.3389,0.9837,0.9834,-1.486,-1.4863,-0.4925,-0.4922,0.7772,0.7771,0.5313,0.5308,0.273,0.273,0.1432,0.1431,0.0799,0.0797,0
126,0,0,0.1466,0.1463,0.2788,0.2789,0.966,0.9663,-1.0399,-1.0407,0.2899,0.2923,1.0168,1.0165,-1.4604,-1.4612,-0.5432,-0.5423,0.7833,0.783,0.5441,0.5437,0.2804,0.2806,0.147,0.147,0.0821,0.0819,0
127,0,0,0.1473,0.147,0.2818,0.2821,0.9883,0.9884,-1.0413,-1.0419,0.2438,0.2458,1.0475,1.0472,-1.4323,-1.4331,-0.5943,-0.5932,0.789,0.7884,0.5568,0.5564,0.2876,0.2879,0.1507,0.1508,0.0841,0.0841,0
128,0,0,0.1481,0.1482,0.2852,0.2856,1.0108,1.0103,-1.0425,-1.0428,0.1981,0.1993,1.0762,1.0759,-1.4015,-1.4021,-0.6463,-0.6453,0.794,0.7932,0.5694,0.569,0.2949,0.2951,0.1543,0.1545,0.0861,0.0861,0
129,0,0,0.1489,0.1492,0.2891,0.2889,1.0327,1.0327,-1.0433,-1.0436,0.1519,0.1528,1.1038,1.1034,-1.3674,-1.3681,-0.6999,-0.6986,0.7978,0.7972,0.5818,0.5813,0.3022,0.3022,0.1579,0.1579,0.0879,0.0879,0
130,0,0,0.1504,0.1509,0.2944,0.2932,1.055,1.0549,-1.0446,-1.0447,0.1057,0.106,1.1298,1.1292,-1.3296,-1.3299,-0.7545,-0.7535,0.7985,0.7978,0.5937,0.5934,0.3098,0.3097,0.1621,0.1619,0.0904,0.0904,0
131,0,0,0.1538,0.1541,0.3017,0.2989,1.0781,1.0766,-1.047,-1.0462,0.0595,0.0586,1.1539,1.1534,-1.2879,-1.2872,-0.81,-0.8097,0.798,0.7964,0.6053,0.605,0.3177,0.3177,0.167,0.1667,0.0937,0.0938,0
132,0,0,0.1589,0.1594,0.3111,0.3059,1.1029,1.0963,-1.0508,-1.0477,0.0139,0.0104,1.1756,1.1758,-1.2424,-1.241,-0.8657,-0.866,0.7942,0.7916,0.6173,0.6165,0.3256,0.3261,0.1719,0.1718,0.0976,0.098,0
133,0,0,0.164,0.1659,0.3186,0.3131,1.1271,1.1163,-1.0532,-1.0487,-0.0321,-0.0375,1.1959,1.1965,-1.1943,-1.1939,-0.9223,-0.9214,0.7895,0.7871,0.6281,0.6269,0.3321,0.333,0.1758,0.176,0.1005,0.1017,0
134,0,0,0.1683,0.1727,0.3237,0.3202,1.1495,1.1372,-1.0542,-1.0494,-0.079,-0.084,1.2149,1.2154,-1.1447,-1.1465,-0.9789,-0.9758,0.7853,0.7836,0.6377,0.636,0.3374,0.3385,0.1789,0.1791,0.1024,0.1045,0
135,0,0,0.1716,0.1777,0.3264,0.3285,1.1679,1.1608,-1.0518,-1.0508,-0.1278,-0.1266,1.2323,1.2308,-1.0966,-1.0968,-1.0322,-1.0302,0.7819,0.7797,0.6461,0.6439,0.3424,0.3432,0.1816,0.1811,0.1035,0.1068,0
136,0,0,0.1749,0.1791,0.3297,0.336,1.1846,1.1847,-1.0477,-1.0509,-0.1756,-0.1683,1.2465,1.2447,-1.0511,-1.0461,-1.0799,-1.0839,0.7777,0.7749,0.6543,0.6521,0.3468,0.3475,0.1834,0.1823,0.1037,0.107,0
137,0,0,0.1786,0.1794,0.3341,0.3414,1.201,1.2073,-1.043,-1.0499,-0.2212,-0.2101,1.258,1.2575,-1.0081,-0.9962,-1.123,-1.1354,0.7729,0.7702,0.662,0.6605,0.3504,0.3513,0.1843,0.1831,0.1036,0.1058,0
138,0,0,0.1826,0.1809,0.3387,0.3427,1.2208,1.225,-1.0397,-1.0451,-0.2624,-0.2553,1.268,1.2707,-0.9656,-0.9524,-1.1658,-1.1812,0.7703,0.7688,0.6671,0.6674,0.3518,0.3533,0.184,0.1836,0.1028,0.1034,0
139,0,0,0.187,0.1843,0.3447,0.3446,1.2431,1.2414,-1.0379,-1.0404,-0.303,-0.2984,1.2782,1.2802,-0.925,-0.9143,-1.2076,-1.2199,0.7698,0.7684,0.6722,0.6727,0.3538,0.355,0.1839,0.1845,0.1026,0.1029,0
140,0,0,0.192,0.1903,0.3525,0.3485,1.2669,1.2579,-1.0369,-1.0374,-0.3434,-0.3383,1.2884,1.2865,-0.8877,-0.8813,-1.2468,-1.2524,0.7699,0.7683,0.6779,0.6772,0.3567,0.3568,0.1839,0.1861,0.1027,0.1033,0
141,0,0,0.1978,0.1963,0.3607,0.3566,1.2883,1.2784,-1.0358,-1.0364,-0.3824,-0.3753,1.2971,1.291,-0.8568,-0.8524,-1.2793,-1.2807,0.7709,0.7689,0.6851,0.6832,0.3605,0.3595,0.1844,0.1871,0.1027,0.1039,0
142,0,0,0.2039,0.2029,0.368,0.3656,1.3056,1.2982,-1.0334,-1.0342,-0.4191,-0.4125,1.303,1.297,-0.8335,-0.8304,-1.3047,-1.3048,0.7739,0.7714,0.6915,0.6899,0.3625,0.3618,0.1845,0.187,0.1021,0.1035,0
143,0,0,0.2102,0.2099,0.3741,0.374,1.3197,1.3156,-1.0282,-1.029,-0.4539,-0.4502,1.3073,1.3052,-0.8163,-0.8142,-1.3244,-1.3251,0.7803,0.7781,0.6968,0.6966,0.3633,0.3635,0.1842,0.1853,0.1001,0.1008,0
144,0,0,0.2168,0.2173,0.3799,0.381,1.3327,1.3289,-1.0213,-1.0217,-0.4891,-0.4869,1.3132,1.3126,-0.8044,-0.8029,-1.3399,-1.3408,0.7876,0.7856,0.702,0.7026,0.363,0.365,0.1832,0.1833,0.0983,0.0983,0
145,0,0,0.224,0.2243,0.386,0.3878,1.3467,1.3413,-1.0144,-1.0141,-0.5249,-0.5232,1.3205,1.3197,-0.7943,-0.7946,-1.3543,-1.3534,0.7947,0.793,0.7071,0.7087,0.3631,0.3662,0.1821,0.182,0.0972,0.0966,0
146,0,0,0.2314,0.2309,0.3924,0.3944,1.3618,1.3541,-1.0079,-1.0069,-0.5617,-0.5599,1.3298,1.3273,-0.785,-0.7886,-1.3681,-1.3638,0.8011,0.8001,0.7115,0.7147,0.3643,0.3671,0.181,0.1811,0.0964,0.0955,0
147,0,0,0.2382,0.2374,0.3998,0.4013,1.3755,1.3694,-1.0009,-1.0003,-0.6003,-0.5984,1.3402,1.3394,-0.7755,-0.7855,-1.3816,-1.3733,0.8074,0.809,0.7137,0.7194,0.3657,0.3664,0.1801,0.1804,0.0953,0.0938,0
148,0,0,0.2438,0.2438,0.4061,0.4082,1.3871,1.3854,-0.9929,-0.9928,-0.641,-0.6397,1.3539,1.3546,-0.772,-0.7834,-1.3893,-1.3806,0.8126,0.8174,0.7148,0.7201,0.3657,0.3649,0.1787,0.1793,0.0938,0.092,0
